,Unnamed: 0,SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
43,44,45,Chhichhore,2110000000,1530000000,1800000000,310000000,700000000,Blockbuster,tt9052870,143.0,Sep,8.3,68316.0
44,45,46,Tanu Weds Manu Returns,2580000000,1500000000,2140000000,440000000,390000000,Blockbuster,tt2140465,128.0,May,7.6,29966.0
45,46,47,Bodyguard,2300000000,1480000000,1890000000,410000000,600000000,Blockbuster,tt7493974,60.0,Oct,8.0,161571.0
46,47,48,Dilwale,3880000000,1480000000,2120000000,1760000000,1650000000,Average,tt4535650,158.0,Dec,5.1,39547.0
47,47,48,Dilwale,3880000000,1480000000,2120000000,1760000000,1650000000,Average,tt4535650,158.0,Dec,5.1,39547.0
48,48,49,Super 30,2100000000,1470000000,1710000000,390000000,600000000,SuperHit,tt7485048,154.0,Jul,7.9,38301.0
49,50,51,Dabangg 3,2180000000,1460000000,1780000000,400000000,900000000,Average,tt7059844,160.0,Dec,3.0,20614.0
50,51,52,Saaho,4510000000,1450000000,3590000000,920000000,3500000000,Below Average,tt6836936,170.0,Aug,5.1,24895.0
51,52,53,Thugs Of Hindostan,3270000000,1450000000,1940000000,1330000000,3000000000,Disaster,tt5970844,164.0,Nov,4.1,22257.0
52,53,54,Dream Girl,1950000000,1410000000,1630000000,320000000,300000000,SuperHit,tt9248940,132.0,Sep,7.0,17488.0
53,54,55,Singham Returns,2160000000,1400000000,2000000000,160000000,1050000000,SuperHit,tt2309764,142.0,Aug,5.7,10803.0
54,55,56,Dabangg,2150000000,1400000000,2070000000,70000000,420000000,Blockbuster,tt1620719,126.0,Sep,6.2,35017.0
55,56,57,Gully Boy,2350000000,1390000000,1640000000,710000000,600000000,SuperHit,tt2395469,154.0,Feb,7.9,44564.0
56,57,58,Judwaa 2,2270000000,1380000000,1920000000,350000000,650000000,SuperHit,tt5456546,145.0,Sep,3.7,12256.0
57,58,59,Badhaai Ho,2200000000,1370000000,1760000000,440000000,230000000,Blockbuster,tt7725596,124.0,Oct,7.9,38724.0
58,59,60,The Kerala Story,1640000000,1350000000,1610000000,30000000,150000000,Blockbuster,tt24268454,138.0,May,6.9,73942.0
59,61,62,Rowdy Rathore,1980000000,1330000000,1720000000,260000000,450000000,Blockbuster,tt2077833,140.0,Jun,5.8,24878.0
60,62,63,M.S. Dhoni: The Untold Story,2150000000,1330000000,1840000000,300000000,1040000000,Hit,tt4169250,184.0,Sep,8.0,71851.0
61,63,64,Gangubai Kathiawadi,2110000000,1310000000,1550000000,560000000,1800000000,Hit,tt10083340,152.0,Feb,7.8,64383.0
62,64,65,Stree,1820000000,1290000000,1670000000,150000000,300000000,Blockbuster,tt8108202,128.0,Aug,7.5,43429.0
63,65,66,Airlift,2280000000,1280000000,1830000000,450000000,300000000,SuperHit,tt4387040,130.0,Jan,7.9,59531.0
64,66,67,Avatar: The Way of Water,173800000000,1270000000,4770000000,169020000000,32000000000,Blockbuster,tt1630029,192.0,Dec,7.5,539759.0
65,67,68,Rustom,2160000000,1270000000,1770000000,390000000,500000000,SuperHit,tt5165344,148.0,Aug,7.0,29545.0
66,68,69,Raazi,1950000000,1230000000,1580000000,370000000,370000000,Blockbuster,tt7098658,138.0,May,7.7,34863.0
67,69,70,Ready,1850000000,1200000000,1530000000,310000000,400000000,Blockbuster,tt1708532,145.0,Jun,4.9,20101.0
68,70,71,Jab Tak Hai Jaan,2350000000,1200000000,1670000000,670000000,500000000,SuperHit,tt2176013,176.0,Nov,6.7,61048.0
69,71,72,Tubelight,2110000000,1190000000,1650000000,450000000,1000000000,Average,tt5882970,136.0,Jun,3.9,22086.0
70,72,73,Baahubali,6500000000,1180000000,5160000000,1340000000,1800000000,Blockbuster,tt2631186,159.0,Jul,8.0,145507.0
71,73,74,Agneepath,1950000000,1180000000,1590000000,360000000,710000000,SuperHit,tt1849718,174.0,Jan,6.9,27561.0
72,76,77,Jai Ho,1860000000,1170000000,1500000000,360000000,650000000,Hit,tt1188982,135.0,Jan,5.0,21406.0
73,77,78,Jolly LLB 2,1970000000,1170000000,1620000000,340000000,300000000,SuperHit,tt5982852,137.0,Feb,7.2,28617.0
74,79,80,Bala,1620000000,1160000000,1350000000,270000000,350000000,SuperHit,tt9420648,133.0,Nov,7.3,16468.0
75,80,81,Ra.One,2060000000,1160000000,1560000000,490000000,1300000000,Below Average,tt1562871,156.0,Oct,4.8,47912.0
