Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Kabhi Haan Kabhi Naa,tt0110222,158.0,Feb,7.6,19629.0
Traffic,tt0181865,147.0,Jan,7.6,223374.0
Darbar,tt9635540,159.0,Jan,5.9,7917.0
Insaaf,tt0093263,,Jun,6.7,89.0
Jayantabhai Ki Luv Story,tt2622130,130.0,Feb,5.3,1431.0
Mitron,tt8852558,119.0,Sep,6.9,2706.0
Don,tt0461936,171.0,Oct,7.2,42376.0
Fareb,tt0444820,129.0,,4.2,202.0
Masaan,tt4635372,109.0,Jun,8.1,33148.0
Gunga Jumna,tt0054910,178.0,Jan,7.4,697.0
Haathi Mere Saathi,tt0272118,170.0,May,6.9,1385.0
Suraj Pe Mangal Bhari,tt10731264,141.0,Nov,5.9,3861.0
Aashiqui,tt0149573,152.0,Jul,6.3,2097.0
Jalebi,tt8426854,112.0,Oct,6.1,3207.0
Disco Dancer,tt0208903,135.0,Dec,6.5,1734.0
Seeta Aur Geeta,tt0078222,162.0,Nov,6.9,2153.0
Chehre,tt10309902,139.0,Aug,6.2,28176.0
Laal Kaptaan,tt9052960,155.0,Oct,7.2,5430.0
Udaan,tt1639426,134.0,Jul,8.1,48297.0
Kuch Kuch Locha Hai,tt4272420,143.0,May,2.6,932.0
Kaafila,tt0886505,,Aug,3.3,196.0
Buddha Mar Gaya,tt1083447,93.0,Aug,3.0,431.0
One Night Stand,tt0119832,102.0,Sep,5.9,7376.0
Zaalim,tt0290940,131.0,Dec,4.9,621.0
Chori Chori,tt0326805,135.0,Aug,4.8,965.0
Pihu,tt8458202,91.0,Nov,6.7,3032.0
Zanjeer,tt0070947,145.0,May,7.5,4267.0
Waqt,tt0059893,178.0,Jul,7.6,1555.0
The Batman,tt1877830,176.0,Mar,7.8,884274.0
Hum Hain Bemisaal,tt0290213,145.0,Dec,4.8,663.0
Mere Mehboob,tt0266765,164.0,,6.9,227.0
Angaaray,tt0288427,141.0,Jul,5.3,885.0
Qayamat Se Qayamat Tak,tt0095936,162.0,Apr,7.4,11400.0
Waiting,tt4818930,92.0,May,7.1,1886.0
Mili,tt15257644,127.0,Nov,6.7,11299.0
Malaal,tt10305616,136.0,Jul,5.9,1449.0
Laila Majnu,tt8011276,140.0,Sep,7.7,6975.0
Manto,tt6923462,112.0,Sep,7.3,4730.0
The Body,tt1937149,112.0,Dec,7.6,74989.0
Master,tt10579952,179.0,Jan,7.4,85662.0
Aggar,tt0875692,,Sep,4.3,306.0
Jai Kishen,tt0110177,129.0,Jun,4.7,699.0
Phobia,tt1292575,240.0,Apr,6.6,3762.0
Aligarh,tt5121000,114.0,Feb,7.8,7902.0
Bhangra Paa Le,tt9766280,131.0,Jan,6.3,434.0
Fantastic Beasts: The Secrets of Dumbledore,tt4123432,142.0,Apr,6.2,185466.0
Salaam Venky,tt15567704,137.0,Feb,6.6,2485.0
Uncharted,tt1464335,116.0,Feb,6.3,285665.0
Pailwaan,tt7317482,166.0,Sep,6.2,2434.0
Gandhi Godse Ek Yudh,tt13801462,110.0,Jan,6.7,8516.0
Mere Jeevan Saathi,tt0418880,129.0,Feb,3.4,1049.0
Shabaash Mithu,tt6265050,156.0,Jul,5.6,8342.0
Bheed,tt15680228,124.0,Mar,6.5,12111.0
Jai Mummy Di,tt9817760,103.0,Jan,3.7,1087.0
Love Sonia,tt3823392,122.0,Sep,7.4,2606.0
Nikamma,tt10687220,152.0,Jun,2.8,1765.0
Saugandh,tt0102846,153.0,Jan,5.4,1057.0
Akaash Vani,tt2423132,149.0,Jan,6.4,2285.0
Zwigato,tt21998526,105.0,Mar,6.7,9997.0
FryDay,tt7526836,114.0,Oct,5.3,905.0
