Movie,imdb_id,Run_time (min),Released_month,imdb_Rating,imdb_Votes
Baar Baar Dekho,tt5197544,141.0,Sep,5.4,7844.0
Vivah,tt0494290,160.0,Nov,6.7,11118.0
Patiala House,tt1535467,140.0,Feb,5.6,9700.0
Bhoot Part One,tt10463030,114.0,Feb,5.4,6032.0
Jab We Met,tt1093370,138.0,Oct,7.9,60625.0
Highway,tt2980794,133.0,Feb,7.6,31758.0
Thappad,tt10964430,142.0,Feb,7.0,27133.0
Talvar,tt4934950,132.0,Oct,8.1,38990.0
Delhi-6,tt1043451,141.0,Feb,6.2,8765.0
Raaz Reboot,tt5639388,128.0,Sep,4.4,2185.0
Peepli Live,tt1447508,95.0,Aug,7.4,12960.0
Paa,tt1532957,133.0,Dec,7.1,12852.0
Jism 2,tt2226666,130.0,Aug,3.1,3693.0
Ittefaq,tt6692354,105.0,Nov,7.2,15211.0
Dum Laga Ke Haisha,tt13322956,109.0,Nov,8.0,83.0
Jannat,tt8843162,,Aug,5.8,34.0
Thor: Love And Thunder,tt10648342,118.0,Jul,6.2,436594.0
Golmaal: Fun Unlimited,tt0495034,150.0,Jul,7.5,19937.0
Mausam,tt1627924,161.0,Sep,4.8,5699.0
Shootout at Lokhandwala,tt0811066,122.0,May,7.1,11047.0
Tashan,tt0995752,120.0,Apr,3.8,5916.0
Mujhse Shaadi Karogi,tt0418362,163.0,Jul,6.7,17362.0
Guzaarish,tt1438298,126.0,Nov,7.4,19992.0
Action Replayy,tt1396208,129.0,Nov,4.3,7328.0
Garam Masala,tt0453671,146.0,Nov,6.8,17604.0
Lootera,tt0357875,145.0,Sep,6.5,29.0
Dil Toh Baccha Hai Ji,tt1727496,143.0,Jan,5.9,4288.0
Ferrari Ki Sawaari,tt2122340,140.0,Jun,6.4,6011.0
Happy Bhaag Jayegi,tt5472758,126.0,Aug,6.4,5833.0
Akira,tt0094625,124.0,Jul,8.0,216679.0
Pari,tt7329858,136.0,Mar,6.6,7353.0
Players,tt14833464,105.0,Feb,5.7,11609.0
London Dreams,tt0486615,146.0,Oct,5.4,4978.0
PM Narendra Modi,tt9558612,136.0,May,3.0,8954.0
Doctor Strange In The Multiverse Of Madness,tt9419884,126.0,May,6.9,520759.0
Ishqiya,tt1345777,118.0,Jan,7.3,11059.0
Baazaar,tt6514196,137.0,Oct,6.5,6293.0
Kyaa Kool Hain Hum 3,tt5290620,124.0,Jan,2.0,4558.0
Doctor G,tt9054970,124.0,Oct,6.6,18891.0
No Problem,tt1431122,139.0,Dec,4.5,3078.0
Wake Up Sid,tt1324059,138.0,Oct,7.6,35031.0
No One Killed Jessica,tt1734110,136.0,Jan,7.2,12534.0
Sanam Re,tt4262516,120.0,Feb,3.3,3583.0
Panga,tt8983166,131.0,Jan,6.8,7999.0
Dedh Ishqiya,tt2675978,152.0,Jan,7.0,7561.0
Sarbjit,tt5120640,131.0,May,7.3,5588.0
Force,tt1992138,137.0,Sep,6.5,8555.0
Jawaani Jaaneman,tt9248952,119.0,Jan,6.5,8585.0
Jhoom Barabar Jhoom,tt0833476,138.0,Jun,3.7,3539.0
Hate Story 2,tt3619772,130.0,Jul,4.4,2471.0
Detective Byomkesh Bakshy,tt3447364,139.0,Apr,7.6,24626.0
Tadap,tt10761694,126.0,Dec,5.1,4885.0
Malamaal Weekly,tt0476805,137.0,Mar,7.0,8181.0
Raja Natwarlal,tt3483712,141.0,Aug,6.2,4606.0
Singh Saab The Great,tt2437954,134.0,Nov,5.6,2542.0
Ek Paheli Leela,tt4500734,145.0,Apr,3.8,1924.0
Fashion,tt0964516,167.0,Oct,6.9,13380.0
The Hero: Love Story of a Spy,tt0347167,160.0,Apr,5.5,2660.0
Salaam Namaste,tt0456165,158.0,Sep,6.2,8328.0
Khakee,tt0347332,174.0,Jan,7.4,16868.0
Karan Arjun,tt0113526,175.0,Jan,6.8,16327.0
